,title,availability,price,url,ups,category
0,A Light in the Attic,Instock,£51.77,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,a897fe39b1053632,Poetry
1,Tipping the Velvet,Instock,£53.74,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,90fa61229261140a,Historical Fiction
2,Soumission,Instock,£50.10,https://books.toscrape.com/catalogue/soumission_998/index.html,6957f44c3847a760,Fiction
3,Sharp Objects,Instock,£47.82,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,e00eb4fd7b871a48,Mystery
4,Sapiens: A Brief History of Humankind,Instock,£54.23,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,4165285e1663650f,History
5,The Requiem Red,Instock,£22.65,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,f77dbf2323deb740,Young Adult
6,The Dirty Little Secrets of Getting Your Dream Job,Instock,£33.34,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2597b5a345f45e1b,Business
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Instock,£17.93,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,e72a5dfc7e9267b2,Default
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Instock,£22.60,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,e10e1e165dc8be4a,Default
9,The Black Maria,Instock,£52.15,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,1dfe412b8ac00530,Poetry
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Instock,£13.99,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,0312262ecafa5a40,Default
11,Shakespeare's Sonnets,Instock,£20.66,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,30a7f60cd76ca58c,Poetry
12,Set Me Free,Instock,£17.46,https://books.toscrape.com/catalogue/set-me-free_988/index.html,ce6396b0f23f6ecc,Young Adult
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Instock,£52.29,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,3b1c02bac2a429e6,Sequential Art
14,Rip it Up and Start Again,Instock,£35.02,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,a34ba96d4081e6a4,Music
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Instock,£57.25,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,deda3e61b9514b83,Music
16,Olio,Instock,£23.88,https://books.toscrape.com/catalogue/olio_984/index.html,feb7cc7701ecf901,Poetry
17,Mesaerion: The Best Science Fiction Stories 1800-1849,Instock,£37.59,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,e30f54cea9b38190,Science Fiction
18,Libertarianism for Beginners,Instock,£51.33,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,a18a4f574854aced,Politics
19,It's Only the Himalayas,Instock,£45.17,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,a22124811bfa8350,Travel
20,In Her Wake,Instock,£12.84,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,23356462d1320d61,Thriller
21,How Music Works,Instock,£37.32,https://books.toscrape.com/catalogue/how-music-works_979/index.html,327f68a59745c102,Music
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Instock,£30.52,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,5674a18a29a43ced,Food and Drink
23,Chase Me (Paris Nights #2),Instock,£25.27,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,c2e46a2ee3b4a322,Romance
24,Black Dust,Instock,£34.53,https://books.toscrape.com/catalogue/black-dust_976/index.html,00bfed9e18bb36f3,Romance
25,Birdsong: A Story in Pictures,Instock,£54.64,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,9528d0948525bf5f,Childrens
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Instock,£22.50,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,c7d160c2c0de586f,Default
27,Aladdin and His Wonderful Lamp,Instock,£53.13,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,904208d6aa64b655,Default
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Instock,£40.30,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,4c28def39d850cdf,Nonfiction
29,Wall and Piece,Instock,£44.18,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,ccd9ffa25efabdea,Art
30,The Four Agreements: A Practical Guide to Personal Freedom,Instock,£17.66,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,6258a1f6a6dcfe50,Spirituality
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Instock,£31.05,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,3c039985229453bf,Nonfiction
32,The Elephant Tree,Instock,£23.82,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,5dada2b7be26bd03,Thriller
33,The Bear and the Piano,Instock,£36.89,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,9f6568e9c95f60b0,Childrens
34,Sophie's World,Instock,£15.94,https://books.toscrape.com/catalogue/sophies-world_966/index.html,6be3beb0793a53e7,Philosophy
35,Penny Maybe,Instock,£33.29,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,668fe56b17cfcd4f,Default
36,Maude (1883-1993):She Grew Up with the country,Instock,£18.02,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,094b269567e1c300,Default
37,"In a Dark, Dark Wood",Instock,£19.63,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,19ed25f4641d5efd,Mystery
38,Behind Closed Doors,Instock,£52.22,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,be5cc846f45496fb,Thriller
39,You can't bury them all: Poems,Instock,£33.63,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,55f9da0c5eea2e10,Poetry
40,Slow States of Collapse: Poems,Instock,£57.31,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,b4fd5943413e089a,Poetry
41,Reasons to Stay Alive,Instock,£26.41,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,c8f7f0cb1abb9cac,Nonfiction
42,Private Paris (Private #10),Instock,£47.61,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,b12b89017878a60d,Fiction
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Instock,£23.11,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,c27f6e1f185b0383,Nonfiction
44,Without Borders (Wanderlove #1),Instock,£45.07,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,acddfeab2a407640,New Adult
45,When We Collided,Instock,£31.77,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,3ecb690d1542c568,Contemporary
46,"We Love You, Charlie Freeman",Instock,£50.27,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,8d455c7539795d2a,Fiction
47,Untitled Collection: Sabbath Poems 2014,Instock,£14.27,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,657fe5ead67a7767,Poetry
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Instock,£44.18,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,d170b5a0da46380e,Nonfiction
49,Unicorn Tracks,Instock,£18.78,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,7ae099f3898e0209,Fantasy
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Instock,£25.52,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,9a9d6e9bc555731e,History
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Instock,£16.28,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,09555be379ad9253,Sequential Art
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Instock,£31.12,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,7858914fad68493c,Nonfiction
53,This One Summer,Instock,£19.49,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,51653ef291ab7ddc,Sequential Art
54,Thirst,Instock,£17.27,https://books.toscrape.com/catalogue/thirst_946/index.html,709822d0b5bcb7f4,Fiction
55,The Torch Is Passed: A Harding Family Story,Instock,£19.09,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,4eed62cf5f8d8edf,Add a comment
56,The Secret of Dreadwillow Carse,Instock,£56.13,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,b5ea0b5dabed25a8,Childrens
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Instock,£56.41,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,142d767a56a9254d,Food and Drink
58,The Past Never Ends,Instock,£56.50,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,5ee94540d0749ea0,Mystery
59,The Natural History of Us (The Fine Art of Pretending #2),Instock,£45.22,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,cedf82b5086e4691,Young Adult
60,The Nameless City (The Nameless City #1),Instock,£38.16,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,7d385d34d12e60ff,Sequential Art
61,The Murder That Never Was (Forensic Instincts #5),Instock,£54.11,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,d01ac97e2b8947c2,Fiction
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Instock,£42.96,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,aadee1c326d286e3,Science
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Instock,£23.89,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,31075275518532d7,Add a comment
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Instock,£16.77,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,0da9aa9d24677fc0,Nonfiction
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Instock,£20.59,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,8c9e6bf2467d740d,Default
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Instock,£37.13,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,acd86a5426e21ca0,Nonfiction
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,Instock,£56.06,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,a30b270e25489e5c,Nonfiction
68,The Death of Humanity: and the Case for Life,Instock,£58.11,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,bd261725b99f5983,Philosophy
